12.7,514.8392,519.7507,1558.235,-24.92784343,-33.67064336,170.5728499
12.8,543.282,513.9191,1540.079,-24.43340013,-28.29206423,173.6065545
12.9,598.326,515.7079,1524.784,-25.4484478,-21.39519653,175.0851037
13,659.1686,527.6404,1508.277,-28.08023588,-13.64067613,177.9643063
13.1,704.0772,543.5734,1488.761,-29.33505848,-7.596719953,-179.7913784
13.2,718.2091,552.0766,1465.501,-29.15931269,-4.776369944,-178.8995204
13.3,697.3932,550.892,1442.788,-29.43184586,-7.372624197,-178.1608246
13.4,648.4833,547.0521,1425.104,-30.35204503,-13.5383317,-178.4257471
13.5,582.0242,541.5477,1405.983,-28.86733493,-20.1841539,179.2146458
13.6,516.4754,538.7134,1381.632,-28.14561956,-27.63284663,177.4250902
13.7,466.6031,538.7496,1357.88,-26.88748304,-32.79158862,175.1243653
13.8,451.6437,536.8564,1339.79,-26.13026177,-33.77134149,173.4919814
13.9,474.9083,534.4073,1330.62,-29.07849554,-33.0862058,176.210476
14,518.4824,532.2935,1334.204,-31.01408462,-29.13302656,177.5621439
14.1,569.0922,529.0417,1332.534,-30.24723556,-23.46527478,175.6668171
14.2,616.0327,523.3578,1314.1,-27.56178083,-16.91841372,174.1000924
14.3,650.3299,520.132,1290.143,-25.56039664,-12.17313866,174.3313143
14.4,655.8606,518.4384,1267.878,-25.17423726,-12.67384328,174.4658938
14.5,628.8198,517.6022,1255.119,-24.89540512,-16.60654345,173.8422211
14.6,578.6135,516.8276,1246.464,-23.61673085,-22.17711559,170.5352438
14.7,518.2122,517.4443,1233.274,-22.00193178,-28.86029335,166.593225
14.8,467.7204,518.8987,1214.943,-19.85330987,-33.91182434,163.6363001
14.9,446.4928,518.9238,1195.606,-18.10506306,-35.21995532,162.5222393
15,464.4435,514.9939,1180.955,-18.2789927,-33.01123055,164.7489403
15.1,515.6453,510.3261,1172.678,-20.14683116,-28.11131496,169.8515174
15.2,582.3942,506.2692,1160.848,-21.14733971,-21.32191252,174.7696515
15.3,635.8347,506.6453,1143.684,-21.05009303,-15.54855448,177.6063817
15.4,654.044,509.6436,1126.854,-20.96547021,-13.70344548,179.7190701
15.5,635.3922,510.5069,1115.348,-20.81174404,-15.99241193,179.1833805
15.6,586.0142,507.7397,1107.376,-19.62628973,-21.52395758,176.5850588
15.7,521.951,506.6597,1098.55,-17.73350992,-28.58806169,172.1539443
15.8,464.5748,509.8784,1087.675,-15.1043941,-34.38375394,166.7836043
15.9,433.4208,514.6241,1077.436,-12.89461594,-37.23176994,162.5463099
16,439.8008,511.5328,1067.817,-11.02279213,-35.1001833,161.6620983
16.1,484.5447,500.4194,1059.664,-9.547949627,-29.27338722,162.28839
16.2,550.6653,491.275,1053.899,-8.623899842,-21.41234206,164.9284014
16.3,619.093,493.2809,1051.458,-9.330367026,-14.70557979,167.6828973
16.4,660.538,502.6006,1055.522,-10.67949653,-11.96840793,168.6647777
16.5,659.9865,508.4702,1063.569,-11.59975176,-13.63216757,166.8741638
16.6,620.4314,505.5468,1063.614,-9.042822363,-19.37605318,163.0870398
16.7,556.3715,501.4613,1058.233,-4.720300333,-26.84294349,157.8560293
16.8,485.4258,501.2023,1053.289,-0.414346177,-33.79034272,151.427167
16.9,434.5064,500.7531,1048.103,4.085611189,-37.53686506,146.4986204
17,416.1475,494.5524,1046.699,7.059864541,-37.68464293,144.4749041
17.1,430.5656,482.9268,1049.237,8.027876989,-36.79874714,145.4073395
17.2,466.8282,470.596,1057.203,7.414437161,-34.86188476,148.8259451
17.3,518.4806,460.5941,1065.849,6.255381385,-31.97519724,152.9948913
17.4,576.3512,455.2774,1074.126,4.895779441,-29.50637346,156.0591119
17.5,640.6163,452.2767,1075.007,4.72086865,-25.38936308,157.9219253
17.6,709.0239,452.5292,1069.326,5.336464548,-19.84488956,158.9601125
17.7,782.8397,458.4576,1062.819,5.059507279,-12.48750114,160.4981858
